name,Position,club status,Foreign,age at debut,birth quarter,Height,International,Weights,Market value on debut,pro debut?,nation status,assists,goals,awards,FDB rank,Overall,potential,weak_foot,skill_moves,pace/diving,shooting/handling,passing/kicking,dribbling/reflexes,defending/Speed,physical/positioning,success,,Premier apps
Fousseni Diabaté08,Winger,0,1,22.03,1,175,8,71,1.8,0,1,1,5,0,204374,60,68,3,3,67,21,73,60,51,37,0,,15
eric Bailly,CB,1,1,22.04,3,185,5,80,7.2,0,1,1,0,0,20587,73,83,2,2,51,75,77,42,49,74,0,,70
David Goodwillie,STR,0,0,22.04,3,175,33,73,2.25,0,1,23,56,1,30860,72,82,3,3,74,25,82,73,66,69,0,,20
Lewis Holtby ,CM,0,1,22.04,1,176,15,75,9.9,0,1,9,28,0,49334,78,84,4,4,82,58,79,75,78,67,0,,38
Gylfi Sigurdsson ,CAM,0,1,22.04,1,183,53,72,6.75,0,1,12,32,1,17288,75,82,3,3,70,51,66,79,75,67,1,,318
Antonio Luna,FB,0,1,22.04,3,178,8,68,1.8,0,1,3,1,0,14438,71,77,3,2,67,68,80,55,60,79,0,,17
Álvaro Vázquez,STR,0,1,22.04,3,182,22,70,2.7,0,1,5,36,1,28494,73,81,3,3,74,32,78,69,54,68,0,,12
Isaac Hayden ,CDM,1,0,22.04,3,185,25,72,3.6,0,1,9,6,0,25521,66,74,3,2,63,63,66,46,57,74,1,,118
Sam Byram,FB,0,0,22.04,1,180,11,73,3.15,0,1,3,2,0,17971,71,79,3,2,73,69,77,60,66,72,0,,59
Dean Henderson,GK,1,0,22.04,3,188,23,83,0.9,0,1,0,0,0,18620,70,82,3,1,70,49,71,68,63,66,0,,49
Harry Wilson,Winger,0,1,22.04,3,173,22,69,0.9,0,1,28,58,1,41206,61,79,3,2,64,34,76,58,55,43,0,,31
Kieran Tierney,FB,1,0,22.04,4,178,21,74,24.3,0,1,37,7,1,66915,76,86,3,3,73,71,89,53,69,79,1,,64
Allan Saint-Maximin,Winger,0,1,22.04,3,172,32,76,16.2,0,1,19,15,0,44077,78,85,4,5,84,23,91,71,68,60,1,,86
Kevin Stewart  ,CDM,1,1,22.05,1,180,0,72,0.09,1,1,1,3,0,4678,52,59,4,3,57,56,67,33,47,71,0,,11
Tim Krul,GK,0,1,22.05,3,193,30,78,0.225,0,1,0,0,1,1441,67,79,2,1,69,42,71,66,68,66,1,,222
Hérold Goulon,CB,0,1,22.05,4,195,3,80,1.8,0,1,0,1,0,4785,68,69,3,2,63,66,55,48,60,81,0,,4
Simon Mignolet,GK,0,1,22.05,3,193,33,83,2.25,0,1,1,0,0,22367,70,76,3,1,73,59,70,69,68,68,1,,246
Radosav Petrovic ,CDM,0,1,22.05,3,193,8,79,2.25,0,1,9,18,0,54444,73,80,2,2,54,73,65,71,65,76,0,,19
Ashley Westwood ,CDM,0,0,22.05,3,176,0,71,2.25,1,1,16,14,0,2548,65,74,3,3,57,55,67,47,64,69,1,,286
Stuart O'Keefe ,CM,0,0,22.05,3,173,0,67,0.045,1,1,1,2,0,-1675,64,72,3,2,67,56,72,57,61,70,0,,14
Ryan Fraser,Winger,0,0,22.05,2,158,16,66,0.54,0,1,6,0,1,15314,72,80,4,3,75,42,90,63,66,56,1,,165
Jordan Veretout ,CM,0,1,22.05,3,177,44,70,7.2,0,1,11,11,0,34300,76,82,3,3,75,67,68,73,76,71,0,,25
Jacob Murphy,Winger,0,0,22.05,2,177,5,70,10.17,0,1,29,32,0,31895,70,79,3,3,71,33,82,68,66,55,1,,93
Sadio Mané ,Winger,0,1,22.05,3,168,20,68,20.7,0,1,33,47,0,120247,74,80,3,4,78,34,90,70,69,61,1,,263
Tyrone Mings,CB,0,0,22.05,3,196,0,77,10.17,0,1,7,3,0,11680,70,79,3,2,67,69,78,36,59,77,1,,122
Isaac Mbenza,Winger,0,1,22.05,3,188,3,73,3.15,0,1,6,21,0,29897,70,78,3,3,71,28,80,66,66,63,0,,22
Oskar Buur,FB,0,1,22.05,3,180,26,68,0.09,0,1,11,6,0,1861,58,70,3,3,62,51,70,32,52,51,0,,1
Caglar Söyüncü,CB,0,1,22.05,3,185,20,82,16.2,0,1,1,3,0,5622,74,82,3,2,59,74,63,45,52,74,1,,91
Neil Taylor,FB,0,0,22.06,2,173,33,70,0.675,1,1,4,0,0,5536,68,78,2,2,62,69,75,38,59,67,1,,146
Juan Iturbe,Winger,0,1,22.06,4,173,26,68,13.5,0,1,7,20,0,25102,77,83,3,4,84,25,92,70,67,54,0,,2
Dionatan Teixeira,CB,0,1,22.06,4,193,17,80,0.315,0,1,3,2,0,1372,61,68,3,2,36,65,60,30,33,62,0,,2
Manuel Lanzini ,CAM,0,1,22.06,2,164,5,66,5.4,0,1,27,28,0,37114,76,83,3,4,83,22,82,66,75,45,1,,169
Florian Thauvin,Winger,0,1,22.06,2,179,31,68,16.52,0,1,20,52,0,54505,76,82,3,2,81,33,81,71,74,61,0,,13
Will Hughes  ,CAM,0,0,22.06,3,176,26,68,8.19,0,1,15,10,0,13722,74,83,3,3,76,62,67,58,71,62,1,,93
Kyle Edwards ,Winger,0,0,22.06,2,178,8,69,0.45,0,1,6,9,0,18710,68,75,3,2,75,37,79,55,63,56,0,,5
Lucas Torreira ,CDM,1,1,22.06,2,160,0,65,25.79,0,1,2,1,0,29979,78,85,3,2,80,73,77,62,77,73,0,,63
Elliott Bennett,Winger,0,0,22.07,2,179,0,71,1.53,1,1,42,22,0,34881,69,74,3,2,67,46,84,57,68,56,0,,59
Marcelo Moreno198708,STR,0,1,22.07,4,183,35,72,3.15,0,1,4,45,1,35685,79,85,4,1,77,41,79,78,59,72,0,,12
James McClean ,Winger,0,1,22.07,3,175,7,71,0.378,0,1,16,20,0,51074,68,81,3,3,71,27,81,63,64,70,1,,158
Ryan Shotton,CB,0,0,22.07,1,189,0,75,0.09,1,1,0,5,0,1528,62,65,3,2,38,62,63,27,37,66,0,,48
Bryan Oviedo,FB,0,1,22.07,2,167,16,67,4.05,0,1,6,1,0,19862,67,73,3,3,71,64,83,46,62,55,0,,60
Christian Atsu,Winger,0,1,22.07,2,159,6,63,2.7,0,1,7,9,0,49146,76,81,2,3,80,31,92,66,71,55,0,,80
Albian Ajeti09,STR,0,1,22.07,2,183,38,78,10.17,0,1,23,109,1,92730,72,79,4,3,69,29,79,68,55,75,0,,9
Jon Gorenc Stankovic ,CDM,0,1,22.07,2,190,28,81,0.54,0,1,1,2,0,4486,62,76,3,2,53,61,53,40,50,65,0,,11
Emiliano Buendía,Winger,0,1,22.07,2,177,6,77,2.25,0,1,14,17,0,37027,71,78,3,3,71,61,68,62,72,58,1,,81
Arnaut Danjuma,Winger,0,1,22.07,2,178,8,68,14.81,0,1,23,33,0,53953,73,82,3,3,76,42,84,68,66,66,0,,14
Tanguy Ndombélé ,CAM,0,1,22.07,2,175,14,77,54,0,1,18,5,1,59024,78,87,3,4,83,70,80,66,75,77,0,,63
Jed Steer,GK,0,0,22.08,1,183,14,76,0.675,1,1,0,0,0,8298,62,72,2,1,61,58,65,50,57,40,0,,3
Joel Robles,GK,0,1,22.08,4,195,7,81,2.7,0,1,0,0,0,2416,73,76,2,1,69,79,73,73,51,75,0,,51
Anthony Knockaert,Winger,0,1,22.08,1,166,10,72,1.62,0,1,15,27,0,24978,70,77,3,4,74,69,67,75,29,58,0,,72
Guillermo Varela,FB,1,1,22.08,3,173,26,66,1.35,0,1,2,1,0,2071,63,67,3,2,68,33,45,62,66,66,0,,4
Jesús Vallejo,CB,0,1,22.08,2,184,37,76,9,0,1,2,1,1,13368,78,86,3,2,71,41,56,62,79,70,0,,2
Angeliño ,Winger,1,1,22.08,2,167,3,67,10.8,0,1,27,10,0,48495,73,81,3,3,85,63,75,75,65,74,0,,6
Wesley,STR,0,1,22.08,1,191,0,77,18,0,1,18,45,0,78040,75,83,3,4,72,73,64,71,35,81,0,,25
Gabriel09,CB,1,1,22.08,2,190,4,81,23.4,0,1,1,6,0,30030,73,81,2,2,58,35,51,52,72,75,1,,58
Chris Martin,STR,0,0,22.09,1,184,2,75,0.675,0,1,29,48,0,33380,66,71,4,3,68,71,44,66,32,65,0,,5
Morgan Schneiderlin ,CDM,0,1,22.09,1,181,27,78,1.35,0,1,1,3,0,17939,72,78,3,2,64,67,70,66,69,73,1,,200
André Schürrle,Winger,1,0,22.09,1,184,31,69,28.8,0,1,24,78,0,81446,80,85,4,4,88,73,75,83,37,67,1,,68
Alex McCarthy,GK,0,0,22.09,2,193,3,78,1.8,1,1,0,0,0,10202,69,76,3,1,71,68,67,74,58,68,1,,141
Arthur Masuaku,FB,0,1,22.09,1,172,5,69,6.3,0,1,12,2,1,43248,75,85,2,2,84,70,70,77,72,73,1,,105
Danny Ward ,GK,1,1,22.09,4,185,18,71,0.225,0,1,1,0,0,24211,58,66,3,1,61,56,59,62,43,53,0,,3
Alfie Mawson,CB,0,0,22.09,2,189,0,81,0.9,0,1,0,5,0,11785,60,68,2,2,54,35,34,40,61,67,0,,90
André Zambo Anguissa06 ,CDM,0,1,22.09,1,184,12,79,16.2,0,1,2,0,0,42454,71,78,2,2,71,56,63,68,66,84,0,,58
James McArthur,CDM,0,0,22.1,1,179,3,75,1.58,1,1,5,9,0,10766,70,77,3,1,71,54,74,73,65,71,1,,319
Elliot Grandin ,CAM,0,1,22.1,1,180,19,70,1.35,0,1,4,11,0,6338,69,76,3,1,75,63,61,74,37,52,0,,23
Alfred N'Diaye ,CDM,0,1,22.1,3,190,31,80,4.23,0,1,4,9,0,33747,65,73,3,2,70,43,49,54,60,79,0,,31
Fredrik Ulvestad  ,CM,0,1,22.1,4,183,14,74,1.17,0,1,12,19,0,22244,67,76,3,3,71,66,67,71,49,68,0,,2
Michy Batshuayi ,STR,1,1,22.1,1,180,18,76,13.5,0,1,20,77,0,82090,78,83,4,3,82,78,58,79,27,71,0,,77
Steve Mounié,STR,0,1,22.1,1,190,12,75,4.95,0,1,8,26,0,37395,68,76,3,2,65,66,50,65,44,71,0,,59
Jonathan Calleri,STR,0,1,22.1,1,181,0,70,9,0,1,12,56,1,73923,74,80,2,3,76,73,60,72,38,74,0,,16
Adam Hammill,Winger,1,0,22.11,2,180,8,68,0.54,1,1,31,27,0,19414,71,75,5,4,82,66,62,72,17,60,0,,19
Ádám Bogdán1987,GK,0,1,22.11,1,193,12,85,0.9,1,1,0,0,0,-219,60,78,3,1,65,56,61,64,45,60,0,,26
Iago Falque,Winger,0,0,22.11,2,174,22,73,0.9,1,1,7,35,0,10355,72,81,3,4,77,65,70,80,32,50,0,,1
Ahmed Elmohamady1987,FB,0,1,22.11,1,178,32,67,1.8,0,1,18,14,1,45095,72,83,3,3,78,70,70,71,62,68,1,,197
Brek Shea ,Winger,0,0,22.11,2,190,43,79,2.25,0,1,17,19,0,17001,70,81,3,3,72,65,69,69,57,71,0,,3
Benik Afobe,STR,0,1,22.11,2,181,38,75,6.3,0,1,16,55,1,52170,73,81,3,3,83,73,60,71,26,72,0,,63
Max Meyer ,CAM,0,1,22.11,1,173,65,67,16.2,0,1,48,90,1,31134,79,86,4,4,72,62,77,84,35,53,0,,46
Jack Stephens ,CB,0,0,22.11,2,185,12,75,0.225,0,1,4,1,0,7646,64,73,3,2,62,41,54,56,66,65,1,,120
Angus Gunn ,GK,0,0,22.11,2,196,28,81,1.8,0,1,0,0,0,8011,76,83,3,1,76,73,70,79,49,74,0,,31
Neal MaupayBon &,STR,0,1,22.11,4,171,35,68,14,0,1,18,76,1,43838,71,84,3,3,74,69,64,68,39,65,1,,102
Joelinton ,CAM,0,1,22.11,4,186,4,81,39.6,0,1,25,41,0,48489,71,82,3,3,74,69,64,68,39,65,1,,104
Ben White,CB,0,0,22.11,1,186,0,76,4.95,0,1,11,4,1,15733,68,80,4,2,65,26,49,52,67,70,1,,68
Jimmy Dunne09,CB,0,0,22.11,1,191,2,80,0.27,0,1,4,6,0,11545,68,78,3,2,52,37,50,54,68,63,0,,3
Robert Sánchez08,GK,0,1,22.11,1,196,0,80,1.05,1,1,0,0,0,5905,61,73,3,1,61,60,63,62,43,60,1,,65
Bernardo Silva,CAM,1,1,23,4,173,39,65,45,0,1,26,43,1,92183,81,88,4,4,79,69,78,83,45,60,1,,165
ceballos,CAM,1,1,23,4,179,43,67,27,0,1,12,14,1,40033,78,87,4,4,64,61,76,80,68,64,0,,49
che adams,STR,0,0,23,3,179,4,75,15.03,0,1,19,55,0,33468,62,77,4,3,87,60,51,69,37,58,0,,96
Bakayoko,CDM,1,1,23,4,189,27,74,14.4,0,1,6,5,0,50962,74,81,3,2,69,47,65,66,74,76,0,,29
March,Winger,0,1,23,4,180,7,70,2.25,1,1,10,13,0,17691,69,79,2,3,79,65,66,72,35,57,1,,140
Djuricic,CAM,0,1,23,2,181,78,70,4.5,0,1,26,20,0,29347,75,79,3,3,70,42,63,74,58,80,0,,9
Jay Rodriguez,STR,0,0,23,4,185,7,70,7.79,0,1,20,65,1,45451,75,79,4,2,80,75,58,73,32,68,1,,237
Rodon,CB,0,0,23,1,192,16,80,6.3,0,1,1,0,0,13075,68,77,4,2,54,29,46,54,67,68,0,,15
Adarabioyo,CB,0,0,23,1,196,14,79,1.49,0,1,3,4,0,8180,67,80,3,2,59,29,46,55,67,70,0,,33
